question,answer,chat
What is (are) Mainzer-Saldino syndrome ?,"Mainzer-Saldino syndrome is a disorder characterized by kidney disease, eye problems, and skeletal abnormalities.  People with Mainzer-Saldino syndrome have chronic kidney disease that begins in childhood and gets worse over time. The rate at which the kidney disease worsens is variable, but the condition eventually leads to kidney failure in most affected individuals.  Degeneration of the light-sensitive tissue at the back of the eye (the retina) almost always occurs in this disorder, but the age at which this feature develops varies. Some affected individuals are blind or have severe vision impairment beginning in infancy, with the pattern of vision loss resembling a condition called Leber congenital amaurosis. In other people with Mainzer-Saldino syndrome, the retinal degeneration begins in childhood, but some vision is retained into early adulthood. The vision loss in these affected individuals resembles a category of retinal disorders called rod-cone dystrophies. The most common rod-cone dystrophy is called retinitis pigmentosa, and the vision problems in Mainzer-Saldino syndrome are sometimes referred to as such. However, the abnormal deposits of pigment in the retina from which retinitis pigmentosa gets its name are often not found in Mainzer-Saldino syndrome. As a result, some researchers use terms such as ""atypical retinitis pigmentosa without pigment"" to describe the retinal degeneration that occurs in Mainzer-Saldino syndrome.  The skeletal abnormality most characteristic of Mainzer-Saldino syndrome consists of cone-shaped ends of the bones (epiphyses) in the fingers (phalanges) that can be seen on x-ray images after the first year of life. Affected individuals may also have abnormalities of the thigh bones that occur in the epiphyses and adjacent areas where bone growth occurs (the metaphyses). Occasionally, other skeletal abnormalities occur, including short stature and premature fusion of certain skull bones (craniosynostosis) that affects the shape of the head and face. Affected individuals may also have a small rib cage, which sometimes causes breathing problems in infancy, but the breathing problems are usually mild.  A small number of individuals with this disorder have additional problems affecting other organs. These can include liver disease resulting in a buildup of scar tissue in the liver (hepatic fibrosis); cerebellar ataxia, which is difficulty with coordination and balance arising from problems with a part of the brain called the cerebellum; and mild intellectual disability.","<s>[INST] What is (are) Mainzer-Saldino syndrome ?[/INST] Mainzer-Saldino syndrome is a disorder characterized by kidney disease, eye problems, and skeletal abnormalities.  People with Mainzer-Saldino syndrome have chronic kidney disease that begins in childhood and gets worse over time. The rate at which the kidney disease worsens is variable, but the condition eventually leads to kidney failure in most affected individuals.  Degeneration of the light-sensitive tissue at the back of the eye (the retina) almost always occurs in this disorder, but the age at which this feature develops varies. Some affected individuals are blind or have severe vision impairment beginning in infancy, with the pattern of vision loss resembling a condition called Leber congenital amaurosis. In other people with Mainzer-Saldino syndrome, the retinal degeneration begins in childhood, but some vision is retained into early adulthood. The vision loss in these affected individuals resembles a category of retinal disorders called rod-cone dystrophies. The most common rod-cone dystrophy is called retinitis pigmentosa, and the vision problems in Mainzer-Saldino syndrome are sometimes referred to as such. However, the abnormal deposits of pigment in the retina from which retinitis pigmentosa gets its name are often not found in Mainzer-Saldino syndrome. As a result, some researchers use terms such as ""atypical retinitis pigmentosa without pigment"" to describe the retinal degeneration that occurs in Mainzer-Saldino syndrome.  The skeletal abnormality most characteristic of Mainzer-Saldino syndrome consists of cone-shaped ends of the bones (epiphyses) in the fingers (phalanges) that can be seen on x-ray images after the first year of life. Affected individuals may also have abnormalities of the thigh bones that occur in the epiphyses and adjacent areas where bone growth occurs (the metaphyses). Occasionally, other skeletal abnormalities occur, including short stature and premature fusion of certain skull bones (craniosynostosis) that affects the shape of the head and face. Affected individuals may also have a small rib cage, which sometimes causes breathing problems in infancy, but the breathing problems are usually mild.  A small number of individuals with this disorder have additional problems affecting other organs. These can include liver disease resulting in a buildup of scar tissue in the liver (hepatic fibrosis); cerebellar ataxia, which is difficulty with coordination and balance arising from problems with a part of the brain called the cerebellum; and mild intellectual disability.</s>"
What are the genetic changes related to amyotrophic lateral sclerosis ?,"Mutations in several genes can cause familial ALS and contribute to the development of sporadic ALS. Mutations in the C9orf72 gene account for 30 to 40 percent of familial ALS in the United States and Europe. Worldwide, SOD1 gene mutations cause 15 to 20 percent of familial ALS, and TARDBP and FUS gene mutations each account for about 5 percent of cases. The other genes that have been associated with familial ALS each account for a small proportion of cases. It is estimated that 60 percent of individuals with familial ALS have an identified genetic mutation. The cause of the condition in the remaining individuals is unknown.  The C9orf72, SOD1, TARDBP, and FUS genes are key to the normal functioning of motor neurons and other cells. It is unclear how mutations in these genes contribute to the death of motor neurons, but it is thought that motor neurons are more sensitive to disruptions in function because of their large size. Most motor neurons affected by ALS have a buildup of protein clumps (aggregates); however, it is unknown whether these aggregates are involved in causing ALS or are a byproduct of the dying cell.  In some cases of familial ALS due to mutations in other genes, studies have identified the mechanisms that lead to ALS. Some gene mutations lead to a disruption in the development of axons, the specialized extensions of nerve cells (such as motor neurons) that transmit nerve impulses. The altered axons may impair transmission of impulses from nerves to muscles, leading to muscle weakness and atrophy. Other mutations lead to a slowing in the transport of materials needed for the proper function of axons in motor neurons, eventually causing the motor neurons to die. Additional gene mutations prevent the breakdown of toxic substances, leading to their buildup in nerve cells. The accumulation of toxic substances can damage motor neurons and eventually cause cell death. In some cases of ALS, it is unknown how the gene mutation causes the condition.  The cause of sporadic ALS is largely unknown but probably involves a combination of genetic and environmental factors. Variations in many genes, including the previously mentioned genes involved in transmission of nerve impulses and transportation of materials within neurons, increase the risk of developing ALS. Gene mutations that are risk factors for ALS may add, delete, or change DNA building blocks (nucleotides), resulting in the production of a protein with an altered or reduced function. While genetic variations have been associated with sporadic ALS, not all genetic factors have been identified and it is unclear how most genetic changes influence the development of the disease. People with a gene variation that increases their risk of ALS likely require additional genetic and environmental triggers to develop the disorder.","<s>[INST] What are the genetic changes related to amyotrophic lateral sclerosis ?[/INST] Mutations in several genes can cause familial ALS and contribute to the development of sporadic ALS. Mutations in the C9orf72 gene account for 30 to 40 percent of familial ALS in the United States and Europe. Worldwide, SOD1 gene mutations cause 15 to 20 percent of familial ALS, and TARDBP and FUS gene mutations each account for about 5 percent of cases. The other genes that have been associated with familial ALS each account for a small proportion of cases. It is estimated that 60 percent of individuals with familial ALS have an identified genetic mutation. The cause of the condition in the remaining individuals is unknown.  The C9orf72, SOD1, TARDBP, and FUS genes are key to the normal functioning of motor neurons and other cells. It is unclear how mutations in these genes contribute to the death of motor neurons, but it is thought that motor neurons are more sensitive to disruptions in function because of their large size. Most motor neurons affected by ALS have a buildup of protein clumps (aggregates); however, it is unknown whether these aggregates are involved in causing ALS or are a byproduct of the dying cell.  In some cases of familial ALS due to mutations in other genes, studies have identified the mechanisms that lead to ALS. Some gene mutations lead to a disruption in the development of axons, the specialized extensions of nerve cells (such as motor neurons) that transmit nerve impulses. The altered axons may impair transmission of impulses from nerves to muscles, leading to muscle weakness and atrophy. Other mutations lead to a slowing in the transport of materials needed for the proper function of axons in motor neurons, eventually causing the motor neurons to die. Additional gene mutations prevent the breakdown of toxic substances, leading to their buildup in nerve cells. The accumulation of toxic substances can damage motor neurons and eventually cause cell death. In some cases of ALS, it is unknown how the gene mutation causes the condition.  The cause of sporadic ALS is largely unknown but probably involves a combination of genetic and environmental factors. Variations in many genes, including the previously mentioned genes involved in transmission of nerve impulses and transportation of materials within neurons, increase the risk of developing ALS. Gene mutations that are risk factors for ALS may add, delete, or change DNA building blocks (nucleotides), resulting in the production of a protein with an altered or reduced function. While genetic variations have been associated with sporadic ALS, not all genetic factors have been identified and it is unclear how most genetic changes influence the development of the disease. People with a gene variation that increases their risk of ALS likely require additional genetic and environmental triggers to develop the disorder.</s>"
What is the outlook for Opsoclonus Myoclonus ?,"The prognosis for opsoclonus myoclonus varies depending on the symptoms and the presence and treatment of tumors. With treatment of the underlying cause of the disorder, there may be an improvement of symptoms. The symptoms sometimes recur without warning. Generally the disorder is not fatal.","<s>[INST] What is the outlook for Opsoclonus Myoclonus ?[/INST] The prognosis for opsoclonus myoclonus varies depending on the symptoms and the presence and treatment of tumors. With treatment of the underlying cause of the disorder, there may be an improvement of symptoms. The symptoms sometimes recur without warning. Generally the disorder is not fatal.</s>"
What is (are) Sprengel deformity ?,"Sprengel deformity is a congenital condition characterized by abnormal development and elevation of the shoulder blade (scapula). Severity can range considerably from being almost invisible when covered with clothes, to the shoulder being elevated over 5 centimeters, with neck webbing. Signs and symptoms may include a lump in the back of the base of the neck and limited movement in the shoulder or arm. The condition may also be associated with other skeletal (bone or cartilage) or muscular abnormalities. Sprengel deformity typically occurs sporadically for no apparent reason but autosomal dominant inheritance has been reported. It is caused by an interruption of normal development and movement of the scapula during early fetal growth (probably between the 9th and 12th weeks of gestation). Treatment often includes physical therapy, but severe cases may require surgery to improve cosmetic appearance and scapular function.","<s>[INST] What is (are) Sprengel deformity ?[/INST] Sprengel deformity is a congenital condition characterized by abnormal development and elevation of the shoulder blade (scapula). Severity can range considerably from being almost invisible when covered with clothes, to the shoulder being elevated over 5 centimeters, with neck webbing. Signs and symptoms may include a lump in the back of the base of the neck and limited movement in the shoulder or arm. The condition may also be associated with other skeletal (bone or cartilage) or muscular abnormalities. Sprengel deformity typically occurs sporadically for no apparent reason but autosomal dominant inheritance has been reported. It is caused by an interruption of normal development and movement of the scapula during early fetal growth (probably between the 9th and 12th weeks of gestation). Treatment often includes physical therapy, but severe cases may require surgery to improve cosmetic appearance and scapular function.</s>"
What causes Angelman syndrome ?,"What causes Angelman syndrome? Angelman syndrome is caused by a loss of function of a gene called UBE3A on chromosome 15. The exact mechanism that causes this loss of function is complex. People normally inherit one copy of the UBE3A gene from each parent. Both copies of this gene are turned on (active) in many of the body's tissues. In certain areas of the brain, however, only the copy inherited from a person's mother is active. This parent-specific gene activation is known as genomic imprinting. If the maternal copy of the UBE3A gene is lost because of a chromosomal change or a gene mutation, a person will have no active copies of the gene in some parts of the brain. Several different genetic mechanisms can inactivate or delete the maternal copy of the UBE3A gene. Most cases of Angelman syndrome occur when a segment of the maternal chromosome 15 containing this gene is deleted. In other cases, Angelman syndrome is caused by a mutation in the maternal copy of the UBE3A gene. In a small percentage of cases, a person with Angelman syndrome inherits two copies of chromosome 15 from his or her father, instead of one copy from each parent. This is called paternal uniparental disomy. Rarely, Angelman syndrome can also be caused by a chromosomal rearrangement called a translocation, or by a mutation or other defect in the region of DNA that controls activation of the UBE3A gene. These genetic changes can abnormally turn off (inactivate) UBE3A or other genes on the maternal copy of chromosome 15. The cause of Angelman syndrome is unknown in 10 to 15 percent of affected individuals. Changes involving other genes or chromosomes may be responsible for the condition in these individuals.","<s>[INST] What causes Angelman syndrome ?[/INST] What causes Angelman syndrome? Angelman syndrome is caused by a loss of function of a gene called UBE3A on chromosome 15. The exact mechanism that causes this loss of function is complex. People normally inherit one copy of the UBE3A gene from each parent. Both copies of this gene are turned on (active) in many of the body's tissues. In certain areas of the brain, however, only the copy inherited from a person's mother is active. This parent-specific gene activation is known as genomic imprinting. If the maternal copy of the UBE3A gene is lost because of a chromosomal change or a gene mutation, a person will have no active copies of the gene in some parts of the brain. Several different genetic mechanisms can inactivate or delete the maternal copy of the UBE3A gene. Most cases of Angelman syndrome occur when a segment of the maternal chromosome 15 containing this gene is deleted. In other cases, Angelman syndrome is caused by a mutation in the maternal copy of the UBE3A gene. In a small percentage of cases, a person with Angelman syndrome inherits two copies of chromosome 15 from his or her father, instead of one copy from each parent. This is called paternal uniparental disomy. Rarely, Angelman syndrome can also be caused by a chromosomal rearrangement called a translocation, or by a mutation or other defect in the region of DNA that controls activation of the UBE3A gene. These genetic changes can abnormally turn off (inactivate) UBE3A or other genes on the maternal copy of chromosome 15. The cause of Angelman syndrome is unknown in 10 to 15 percent of affected individuals. Changes involving other genes or chromosomes may be responsible for the condition in these individuals.</s>"
What are the genetic changes related to Lafora progressive myoclonus epilepsy ?,"Lafora progressive myoclonus epilepsy can be caused by mutations in either the EPM2A gene or the NHLRC1 gene. These genes provide instructions for making proteins called laforin and malin, respectively. Laforin and malin play a critical role in the survival of nerve cells (neurons) in the brain.  Studies suggest that laforin and malin work together and may have several functions. One of these is to help regulate the production of a complex sugar called glycogen, which is a major source of stored energy in the body. The body stores this sugar in the liver and muscles, breaking it down when it is needed for fuel. Laforin and malin may prevent a potentially damaging buildup of glycogen in tissues that do not normally store this molecule, such as those of the nervous system.  Researchers have discovered that people with Lafora progressive myoclonus epilepsy have distinctive clumps called Lafora bodies within their cells. Lafora bodies are made up of an abnormal form of glycogen that cannot be broken down and used for fuel. Instead, it builds up to form clumps that can damage cells. Neurons appear to be particularly vulnerable to this type of damage. Although Lafora bodies are found in many of the body's tissues, the signs and symptoms of Lafora progressive myoclonus epilepsy are limited to the nervous system.  Mutations in the EPM2A gene prevent cells from making functional laforin, while NHLRC1 gene mutations prevent the production of functional malin. It is unclear how a loss of either of these proteins leads to the formation of Lafora bodies. However, a loss of laforin or malin ultimately results in the death of neurons, which interferes with the brain's normal functions. The condition tends to progress more slowly in some people with NHLRC1 gene mutations than in those with EPM2A gene mutations.  Mutations in the EPM2A and NHLRC1 genes account for 80 percent to 90 percent of all cases of Lafora progressive myoclonus epilepsy. In the remaining cases, the cause of the condition is unknown. Researchers are searching for other genetic changes that may underlie this disease.","<s>[INST] What are the genetic changes related to Lafora progressive myoclonus epilepsy ?[/INST] Lafora progressive myoclonus epilepsy can be caused by mutations in either the EPM2A gene or the NHLRC1 gene. These genes provide instructions for making proteins called laforin and malin, respectively. Laforin and malin play a critical role in the survival of nerve cells (neurons) in the brain.  Studies suggest that laforin and malin work together and may have several functions. One of these is to help regulate the production of a complex sugar called glycogen, which is a major source of stored energy in the body. The body stores this sugar in the liver and muscles, breaking it down when it is needed for fuel. Laforin and malin may prevent a potentially damaging buildup of glycogen in tissues that do not normally store this molecule, such as those of the nervous system.  Researchers have discovered that people with Lafora progressive myoclonus epilepsy have distinctive clumps called Lafora bodies within their cells. Lafora bodies are made up of an abnormal form of glycogen that cannot be broken down and used for fuel. Instead, it builds up to form clumps that can damage cells. Neurons appear to be particularly vulnerable to this type of damage. Although Lafora bodies are found in many of the body's tissues, the signs and symptoms of Lafora progressive myoclonus epilepsy are limited to the nervous system.  Mutations in the EPM2A gene prevent cells from making functional laforin, while NHLRC1 gene mutations prevent the production of functional malin. It is unclear how a loss of either of these proteins leads to the formation of Lafora bodies. However, a loss of laforin or malin ultimately results in the death of neurons, which interferes with the brain's normal functions. The condition tends to progress more slowly in some people with NHLRC1 gene mutations than in those with EPM2A gene mutations.  Mutations in the EPM2A and NHLRC1 genes account for 80 percent to 90 percent of all cases of Lafora progressive myoclonus epilepsy. In the remaining cases, the cause of the condition is unknown. Researchers are searching for other genetic changes that may underlie this disease.</s>"
What causes Osteoarthritis ?,"Risk Increases With Age Researchers suspect that osteoarthritis is caused by a combination of factors in the body and the environment. The chance of developing osteoarthritis increases with age. It is estimated that 33.6% (12.4 million) of individuals age 65 and older are affected by the disease. Wear and Tear on Joints Affects Cartilage Osteoarthritis often results from years of wear and tear on joints. This wear and tear mostly affects the cartilage, the tissue that cushions the ends of bones within the joint. Osteoarthritis occurs when the cartilage begins to fray, wear away, and decay. Putting too much stress on a joint that has been previously injured, improper alignment of joints, and excess weight all may contribute to the development of osteoarthritis.","<s>[INST] What causes Osteoarthritis ?[/INST] Risk Increases With Age Researchers suspect that osteoarthritis is caused by a combination of factors in the body and the environment. The chance of developing osteoarthritis increases with age. It is estimated that 33.6% (12.4 million) of individuals age 65 and older are affected by the disease. Wear and Tear on Joints Affects Cartilage Osteoarthritis often results from years of wear and tear on joints. This wear and tear mostly affects the cartilage, the tissue that cushions the ends of bones within the joint. Osteoarthritis occurs when the cartilage begins to fray, wear away, and decay. Putting too much stress on a joint that has been previously injured, improper alignment of joints, and excess weight all may contribute to the development of osteoarthritis.</s>"
What is (are) Thalassemias ?,"Thalassemias (thal-a-SE-me-ahs) are inherited blood disorders. ""Inherited"" means that the disorder is passed from parents to children through genes.
                
Thalassemias cause the body to make fewer healthy red blood cells and less hemoglobin (HEE-muh-glow-bin) than normal. Hemoglobin is an iron-rich protein in red blood cells. It carries oxygen to all parts of the body. Hemoglobin also carries carbon dioxide (a waste gas) from the body to the lungs, where it's exhaled.
                
People who have thalassemias can have mild or severe anemia (uh-NEE-me-uh). Anemia is caused by a lower than normal number of red blood cells or not enough hemoglobin in the red blood cells.
                
Overview
                
Normal hemoglobin, also called hemoglobin A, has four protein chainstwo alpha globin and two beta globin. The two major types of thalassemia, alpha and beta, are named after defects in these protein chains.
                
Four genes (two from each parent) are needed to make enough alpha globin protein chains. Alpha thalassemia trait occurs if one or two of the four genes are missing. If more than two genes are missing, moderate to severe anemia occurs.
                
The most severe form of alpha thalassemia is called alpha thalassemia major or hydrops fetalis. Babies who have this disorder usually die before or shortly after birth.
                
Two genes (one from each parent) are needed to make enough beta globin protein chains. Beta thalassemia occurs if one or both genes are altered.
                
The severity of beta thalassemia depends on how much one or both genes are affected. If both genes are affected, the result is moderate to severe anemia. The severe form of beta thalassemia is known as thalassemia major or Cooley's anemia.
                
Thalassemias affect males and females. The disorders occur most often among people of Italian, Greek, Middle Eastern, Southern Asian, and African descent. Severe forms usually are diagnosed in early childhood and are lifelong conditions.
                
Doctors diagnose thalassemias using blood tests. The disorders are treated with blood transfusions, medicines, and other procedures.
                
Outlook
                
Treatments for thalassemias have improved over the years. People who have moderate or severe thalassemias are now living longer and have better quality of life.
                
However, complications from thalassemias and their treatments are frequent. People who have moderate or severe thalassemias must closely follow their treatment plans. They need to take care of themselves to remain as healthy as possible.","<s>[INST] What is (are) Thalassemias ?[/INST] Thalassemias (thal-a-SE-me-ahs) are inherited blood disorders. ""Inherited"" means that the disorder is passed from parents to children through genes.
                
Thalassemias cause the body to make fewer healthy red blood cells and less hemoglobin (HEE-muh-glow-bin) than normal. Hemoglobin is an iron-rich protein in red blood cells. It carries oxygen to all parts of the body. Hemoglobin also carries carbon dioxide (a waste gas) from the body to the lungs, where it's exhaled.
                
People who have thalassemias can have mild or severe anemia (uh-NEE-me-uh). Anemia is caused by a lower than normal number of red blood cells or not enough hemoglobin in the red blood cells.
                
Overview
                
Normal hemoglobin, also called hemoglobin A, has four protein chainstwo alpha globin and two beta globin. The two major types of thalassemia, alpha and beta, are named after defects in these protein chains.
                
Four genes (two from each parent) are needed to make enough alpha globin protein chains. Alpha thalassemia trait occurs if one or two of the four genes are missing. If more than two genes are missing, moderate to severe anemia occurs.
                
The most severe form of alpha thalassemia is called alpha thalassemia major or hydrops fetalis. Babies who have this disorder usually die before or shortly after birth.
                
Two genes (one from each parent) are needed to make enough beta globin protein chains. Beta thalassemia occurs if one or both genes are altered.
                
The severity of beta thalassemia depends on how much one or both genes are affected. If both genes are affected, the result is moderate to severe anemia. The severe form of beta thalassemia is known as thalassemia major or Cooley's anemia.
                
Thalassemias affect males and females. The disorders occur most often among people of Italian, Greek, Middle Eastern, Southern Asian, and African descent. Severe forms usually are diagnosed in early childhood and are lifelong conditions.
                
Doctors diagnose thalassemias using blood tests. The disorders are treated with blood transfusions, medicines, and other procedures.
                
Outlook
                
Treatments for thalassemias have improved over the years. People who have moderate or severe thalassemias are now living longer and have better quality of life.
                
However, complications from thalassemias and their treatments are frequent. People who have moderate or severe thalassemias must closely follow their treatment plans. They need to take care of themselves to remain as healthy as possible.</s>"
What are the symptoms of Iridocorneal endothelial syndrome ?,"What are the signs and symptoms of iridocorneal endothelial (ICE) syndrome? The most common feature of ICE syndrome is the movement of endothelial cells off the cornea onto the iris. This loss of cells from the cornea often leads to swelling of the cornea, distortion of the iris, and variable degrees of distortion of the pupil (the adjustable opening at the center of the iris that allows varying amounts of light to enter the eye). This cell movement also plugs the fluid outflow channels of the eye, causing glaucoma.","<s>[INST] What are the symptoms of Iridocorneal endothelial syndrome ?[/INST] What are the signs and symptoms of iridocorneal endothelial (ICE) syndrome? The most common feature of ICE syndrome is the movement of endothelial cells off the cornea onto the iris. This loss of cells from the cornea often leads to swelling of the cornea, distortion of the iris, and variable degrees of distortion of the pupil (the adjustable opening at the center of the iris that allows varying amounts of light to enter the eye). This cell movement also plugs the fluid outflow channels of the eye, causing glaucoma.</s>"
How many people are affected by otospondylomegaepiphyseal dysplasia ?,This condition is rare; the prevalence is unknown. Only a few families with OSMED have been reported worldwide.,<s>[INST] How many people are affected by otospondylomegaepiphyseal dysplasia ?[/INST] This condition is rare; the prevalence is unknown. Only a few families with OSMED have been reported worldwide.</s>
What is (are) septo-optic dysplasia ?,"Septo-optic dysplasia is a disorder of early brain development. Although its signs and symptoms vary, this condition is traditionally defined by three characteristic features: underdevelopment (hypoplasia) of the optic nerves, abnormal formation of structures along the midline of the brain, and pituitary hypoplasia.  The first major feature, optic nerve hypoplasia, is the underdevelopment of the optic nerves, which carry visual information from the eyes to the brain. In affected individuals, the optic nerves are abnormally small and make fewer connections than usual between the eyes and the brain. As a result, people with optic nerve hypoplasia have impaired vision in one or both eyes. Optic nerve hypoplasia can also be associated with unusual side-to-side eye movements (nystagmus) and other eye abnormalities.  The second characteristic feature of septo-optic dysplasia is the abnormal development of structures separating the right and left halves of the brain. These structures include the corpus callosum, which is a band of tissue that connects the two halves of the brain, and the septum pellucidum, which separates the fluid-filled spaces called ventricles in the brain. In the early stages of brain development, these structures may form abnormally or fail to develop at all. Depending on which structures are affected, abnormal brain development can lead to intellectual disability and other neurological problems.  The third major feature of this disorder is pituitary hypoplasia. The pituitary is a gland at the base of the brain that produces several hormones. These hormones help control growth, reproduction, and other critical body functions. Underdevelopment of the pituitary can lead to a shortage (deficiency) of many essential hormones. Most commonly, pituitary hypoplasia causes growth hormone deficiency, which results in slow growth and unusually short stature. Severe cases cause panhypopituitarism, a condition in which the pituitary produces no hormones. Panhypopituitarism is associated with slow growth, low blood sugar (hypoglycemia), genital abnormalities, and problems with sexual development.  The signs and symptoms of septo-optic dysplasia can vary significantly. Some researchers suggest that septo-optic dysplasia should actually be considered a group of related conditions rather than a single disorder. About one-third of people diagnosed with septo-optic dysplasia have all three major features; most affected individuals have two of the major features. In rare cases, septo-optic dysplasia is associated with additional signs and symptoms, including recurrent seizures (epilepsy), delayed development, and abnormal movements.","<s>[INST] What is (are) septo-optic dysplasia ?[/INST] Septo-optic dysplasia is a disorder of early brain development. Although its signs and symptoms vary, this condition is traditionally defined by three characteristic features: underdevelopment (hypoplasia) of the optic nerves, abnormal formation of structures along the midline of the brain, and pituitary hypoplasia.  The first major feature, optic nerve hypoplasia, is the underdevelopment of the optic nerves, which carry visual information from the eyes to the brain. In affected individuals, the optic nerves are abnormally small and make fewer connections than usual between the eyes and the brain. As a result, people with optic nerve hypoplasia have impaired vision in one or both eyes. Optic nerve hypoplasia can also be associated with unusual side-to-side eye movements (nystagmus) and other eye abnormalities.  The second characteristic feature of septo-optic dysplasia is the abnormal development of structures separating the right and left halves of the brain. These structures include the corpus callosum, which is a band of tissue that connects the two halves of the brain, and the septum pellucidum, which separates the fluid-filled spaces called ventricles in the brain. In the early stages of brain development, these structures may form abnormally or fail to develop at all. Depending on which structures are affected, abnormal brain development can lead to intellectual disability and other neurological problems.  The third major feature of this disorder is pituitary hypoplasia. The pituitary is a gland at the base of the brain that produces several hormones. These hormones help control growth, reproduction, and other critical body functions. Underdevelopment of the pituitary can lead to a shortage (deficiency) of many essential hormones. Most commonly, pituitary hypoplasia causes growth hormone deficiency, which results in slow growth and unusually short stature. Severe cases cause panhypopituitarism, a condition in which the pituitary produces no hormones. Panhypopituitarism is associated with slow growth, low blood sugar (hypoglycemia), genital abnormalities, and problems with sexual development.  The signs and symptoms of septo-optic dysplasia can vary significantly. Some researchers suggest that septo-optic dysplasia should actually be considered a group of related conditions rather than a single disorder. About one-third of people diagnosed with septo-optic dysplasia have all three major features; most affected individuals have two of the major features. In rare cases, septo-optic dysplasia is associated with additional signs and symptoms, including recurrent seizures (epilepsy), delayed development, and abnormal movements.</s>"
What is (are) microvillus inclusion disease ?,"Microvillus inclusion disease is a condition characterized by chronic, watery, life-threatening diarrhea typically beginning in the first hours to days of life. Rarely, the diarrhea starts around age 3 or 4 months. Food intake increases the frequency of diarrhea.  Microvillus inclusion disease prevents the absorption of nutrients from food during digestion, resulting in malnutrition and dehydration. Affected infants often have difficulty gaining weight and growing at the expected rate (failure to thrive), developmental delay, liver and kidney problems, and thinning of the bones (osteoporosis). Some affected individuals develop cholestasis, which is a reduced ability to produce and release a digestive fluid called bile. Cholestasis leads to irreversible liver disease (cirrhosis).  In individuals with microvillus inclusion disease, lifelong nutritional support is needed and given through intravenous feedings (parenteral nutrition). Even with nutritional supplementation, most children with microvillus inclusion disease do not survive beyond childhood.  A variant of microvillus inclusion disease with milder diarrhea often does not require full-time parenteral nutrition. Individuals with the variant type frequently live past childhood.","<s>[INST] What is (are) microvillus inclusion disease ?[/INST] Microvillus inclusion disease is a condition characterized by chronic, watery, life-threatening diarrhea typically beginning in the first hours to days of life. Rarely, the diarrhea starts around age 3 or 4 months. Food intake increases the frequency of diarrhea.  Microvillus inclusion disease prevents the absorption of nutrients from food during digestion, resulting in malnutrition and dehydration. Affected infants often have difficulty gaining weight and growing at the expected rate (failure to thrive), developmental delay, liver and kidney problems, and thinning of the bones (osteoporosis). Some affected individuals develop cholestasis, which is a reduced ability to produce and release a digestive fluid called bile. Cholestasis leads to irreversible liver disease (cirrhosis).  In individuals with microvillus inclusion disease, lifelong nutritional support is needed and given through intravenous feedings (parenteral nutrition). Even with nutritional supplementation, most children with microvillus inclusion disease do not survive beyond childhood.  A variant of microvillus inclusion disease with milder diarrhea often does not require full-time parenteral nutrition. Individuals with the variant type frequently live past childhood.</s>"
What is (are) Jervell and Lange-Nielsen syndrome ?,"Jervell and Lange-Nielsen syndrome is a condition that causes profound hearing loss from birth and a disruption of the heart's normal rhythm (arrhythmia). This disorder is a form of long QT syndrome, which is a heart condition that causes the heart (cardiac) muscle to take longer than usual to recharge between beats. Beginning in early childhood, the irregular heartbeats increase the risk of fainting (syncope) and sudden death.","<s>[INST] What is (are) Jervell and Lange-Nielsen syndrome ?[/INST] Jervell and Lange-Nielsen syndrome is a condition that causes profound hearing loss from birth and a disruption of the heart's normal rhythm (arrhythmia). This disorder is a form of long QT syndrome, which is a heart condition that causes the heart (cardiac) muscle to take longer than usual to recharge between beats. Beginning in early childhood, the irregular heartbeats increase the risk of fainting (syncope) and sudden death.</s>"
Is prothrombin deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","<s>[INST] Is prothrombin deficiency inherited ?[/INST] This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.</s>"
